"","month","pond","k","c","chla","logchla","pc.rfu","sub.cover","sneller","logchla.c","category","chla.p"
"1",2015-07-01,"1J1",1.51017235690434,1.58754816428563,18.6224471428571,2.92016573045582,3.54517857142857,44.6428571428572,31.7857142857143,2.59245289821295,"lchm",13.3625083096308
"2",2015-07-01,"1J2",1.83768383263837,1.52736600891956,33.0286214285714,3.49211881919957,9.17753571428571,50,18.8571428571429,3.7744904563933,"lchm",43.5752991428449
"3",2015-07-01,"1J3",1.56350880132149,1.52454732042326,16.9674628571428,2.83058327033235,3.33164285714285,2.5,34.6428571428572,3.05542459659893,"lclm",21.2301978832846
"4",2015-07-01,"1J5",1.47378065498635,1.56443564662703,12.9759042857143,2.55146541786326,3.29357142857143,18.9285714285714,33.4285714285714,3.13375596365501,"lchm",22.9600549250613
"5",2015-07-01,"K6",2.0967257359203,2.06889351383318,114.862985714286,4.74083235948199,14.365,2.5,15.0714285714285,4.30142035687906,"hclm",73.8045480852576
"6",2015-07-01,"K9",2.06848042755231,2.32632251615275,65.2669571428572,4.17832829006784,8.41260714285714,2.5,18.6428571428571,4.02629360742311,"hclm",56.0527721841247
"7",2015-07-01,"M1",1.49722389881552,1.710036646095,29.4843228571428,3.38027357461456,6.02064285714285,2.5,26.7142857142857,3.20366097832908,"hclm",24.6225078611619
"8",2015-07-01,"M10",2.1146117830063,2.28795911802609,139.894871428571,4.92462881250385,18.695,2.5,14,4.5861212198526,"hclm",98.1131318857474
"9",2015-07-01,"M11",2.94153880825235,3.90434806585517,49.8684342857143,3.90938822315008,6.13364285714286,15,27.1428571428571,4.27576639839905,"hchm",71.9352492487368
"10",2015-07-01,"M12",2.11260038221071,2.03346409053952,211.0835,5.35225378979094,32.645,2.5,10,4.96548968444911,"hchm",143.378743426683
"11",2015-07-01,"M15",2.23660892744338,2.0779293151473,76.2054142857143,4.31827791323256,14.9889285714286,2.5,17.2857142857143,4.33151074471607,"hclm",76.0591057082029
"12",2015-07-01,"M2",1.85473101215598,1.6266072224274,70.8049714285714,4.25004404895216,12.1796428571429,2.5,16.1428571428571,3.68822393718548,"hclm",39.9737879150329
"13",2015-07-01,"M3",2.44504649763053,2.28033845980604,87.565757142857,4.41752142690453,21.7557142857143,2.5,13.7857142857143,4.42442764093453,"hclm",83.4650215863205
"14",2015-07-01,"M4",2.13797569536066,1.30564064772382,7.440886,2.00698992777633,2.168,37.5,35,3.83840943266668,"lchm",46.4515313612897
"15",2015-07-01,"M5",2.37372773349035,2.10427599390965,101.2587,4.61254984731973,62.8864285714286,2.5,7,3.92989486812493,"hclm",50.901626004505
"16",2015-07-01,"M7",2.11559925901761,1.76047263456139,80.3463142857143,4.37253174189685,13.3964285714286,2.5,16.0714285714285,4.18206912772264,"hclm",65.5012435346382
"17",2015-07-01,"M8",3.2968090062847,3.44606035093689,69.3085,4.18123514143918,29.0407142857143,2.5,14.8571428571429,4.73388130636731,"hclm",113.736151614047
"18",2015-07-01,"M9",1.4175225837353,1.55855638515891,9.50451857142857,2.24811719106896,2.49553571428571,2.5,38.0714285714286,2.77220644554451,"lclm",15.9938847418104
