"","date","SHP.PondCode","CHLA.rfu","PC.rfu","SUB.COVER","SNELLER","chla"
"1",2015-07-06,"V21",2212.5,8.499,2.5,15,97.9417
"2",2015-07-07,"V21",2161.21428571429,8.41342857142857,2.5,16.4285714285714,95.7466714285714
"3",2015-07-08,"V21",2109.92857142857,8.32785714285714,2.5,17.8571428571429,93.5516428571429
"4",2015-07-09,"V21",2058.64285714286,8.24228571428571,2.5,19.2857142857143,91.3566142857143
"5",2015-07-10,"V21",2007.35714285714,8.15671428571429,2.5,20.7142857142857,89.1615857142857
"6",2015-07-11,"V21",1956.07142857143,8.07114285714286,2.5,22.1428571428571,86.9665571428571
"7",2015-07-12,"V21",1904.78571428571,7.98557142857143,2.5,23.5714285714286,84.7715285714286
"8",2015-07-13,"V21",1853.5,7.9,2.5,25,82.5765
"9",2015-07-14,"V21",1815.71428571429,7.64585714285714,2.5,25.1428571428571,80.9592714285714
"10",2015-07-15,"V21",1777.92857142857,7.39171428571429,2.5,25.2857142857143,79.3420428571429
"11",2015-07-16,"V21",1740.14285714286,7.13757142857143,2.5,25.4285714285714,77.7248142857143
"12",2015-07-17,"V21",1702.35714285714,6.88342857142857,2.5,25.5714285714286,76.1075857142857
"13",2015-07-18,"V21",1664.57142857143,6.62928571428571,2.5,25.7142857142857,74.4903571428571
"14",2015-07-19,"V21",1626.78571428571,6.37514285714286,2.5,25.8571428571429,72.8731285714286
"15",2015-07-20,"V21",1589,6.121,2.5,26,71.2559
"16",2015-07-21,"V21",1716.14285714286,6.46364285714286,2.5,25.1428571428571,76.6976142857143
"17",2015-07-22,"V21",1843.28571428571,6.80628571428571,2.5,24.2857142857143,82.1393285714286
"18",2015-07-23,"V21",1970.42857142857,7.14892857142857,2.5,23.4285714285714,87.5810428571428
"19",2015-07-24,"V21",2097.57142857143,7.49157142857143,2.5,22.5714285714286,93.0227571428571
"20",2015-07-25,"V21",2224.71428571429,7.83421428571429,2.5,21.7142857142857,98.4644714285714
"21",2015-07-26,"V21",2351.85714285714,8.17685714285714,2.5,20.8571428571429,103.906185714286
"22",2015-07-27,"V21",2479,8.5195,2.5,20,109.3479
"23",2015-07-28,"V21",2370.35714285714,8.24492857142857,2.5,19.5714285714286,104.697985714286
"24",2015-07-29,"V21",2261.71428571429,7.97035714285714,2.5,19.1428571428571,100.048071428571
"25",2015-07-30,"V21",2153.07142857143,7.69578571428571,2.5,18.7142857142857,95.3981571428571
"26",2015-07-31,"V21",2044.42857142857,7.42121428571429,2.5,18.2857142857143,90.7482428571429
"27",2015-08-01,"V21",1935.78571428571,7.14664285714286,2.5,17.8571428571429,86.0983285714286
"28",2015-08-02,"V21",1827.14285714286,6.87207142857143,2.5,17.4285714285714,81.4484142857143
"29",2015-08-03,"V21",1718.5,6.5975,2.5,17,76.7985
"30",2015-08-04,"V21",1828.42857142857,7.15714285714286,2.5,17,81.5034428571429
"31",2015-08-05,"V21",1938.35714285714,7.71678571428571,2.5,17,86.2083857142857
"32",2015-08-06,"V21",2048.28571428571,8.27642857142857,2.5,17,90.9133285714286
"33",2015-08-07,"V21",2158.21428571429,8.83607142857143,2.5,17,95.6182714285714
"34",2015-08-08,"V21",2268.14285714286,9.39571428571429,2.5,17,100.323214285714
"35",2015-08-09,"V21",2378.07142857143,9.95535714285714,2.5,17,105.028157142857
"36",2015-08-10,"V21",2488,10.515,2.5,17,109.7331
"37",2015-08-11,"V21",2644.28571428571,11.3728571428571,2.5,16.7142857142857,116.422128571429
"38",2015-08-12,"V21",2800.57142857143,12.2307142857143,2.5,16.4285714285714,123.111157142857
"39",2015-08-13,"V21",2956.85714285714,13.0885714285714,2.5,16.1428571428571,129.800185714286
"40",2015-08-14,"V21",3113.14285714286,13.9464285714286,2.5,15.8571428571429,136.489214285714
"41",2015-08-15,"V21",3269.42857142857,14.8042857142857,2.5,15.5714285714286,143.178242857143
"42",2015-08-16,"V21",3425.71428571429,15.6621428571429,2.5,15.2857142857143,149.867271428571
"43",2015-08-17,"V21",3582,16.52,2.5,15,156.5563
"44",2015-08-18,"V21",3693.35714285714,16.555,2.5,15,161.322385714286
"45",2015-08-19,"V21",3804.71428571429,16.59,2.5,15,166.088471428571
"46",2015-08-20,"V21",3916.07142857143,16.625,2.5,15,170.854557142857
"47",2015-08-21,"V21",4027.42857142857,16.66,2.5,15,175.620642857143
"48",2015-08-22,"V21",4138.78571428571,16.695,2.5,15,180.386728571429
"49",2015-08-23,"V21",4250.14285714286,16.73,2.5,15,185.152814285714
"50",2015-08-24,"V21",4361.5,16.765,2.5,15,189.9189
"51",2015-08-25,"V21",4223.28571428571,16.2914285714286,2.5,14.4285714285714,184.003328571429
"52",2015-08-26,"V21",4085.07142857143,15.8178571428571,2.5,13.8571428571429,178.087757142857
"53",2015-08-27,"V21",3946.85714285714,15.3442857142857,2.5,13.2857142857143,172.172185714286
"54",2015-08-28,"V21",3808.64285714286,14.8707142857143,2.5,12.7142857142857,166.256614285714
"55",2015-08-29,"V21",3670.42857142857,14.3971428571429,2.5,12.1428571428571,160.341042857143
"56",2015-08-30,"V21",3532.21428571429,13.9235714285714,2.5,11.5714285714286,154.425471428571
"57",2015-08-31,"V21",3394,13.45,2.5,11,148.5099
"58",2015-09-01,"V21",3409.64285714286,14.1014285714286,2.5,11.7142857142857,149.179414285714
"59",2015-09-02,"V21",3425.28571428571,14.7528571428571,2.5,12.4285714285714,149.848928571429
"60",2015-09-03,"V21",3440.92857142857,15.4042857142857,2.5,13.1428571428571,150.518442857143
"61",2015-09-04,"V21",3456.57142857143,16.0557142857143,2.5,13.8571428571429,151.187957142857
"62",2015-09-05,"V21",3472.21428571429,16.7071428571429,2.5,14.5714285714286,151.857471428571
"63",2015-09-06,"V21",3487.85714285714,17.3585714285714,2.5,15.2857142857143,152.526985714286
"64",2015-09-07,"V21",3503.5,18.01,2.5,16,153.1965
"65",2015-09-08,"V21",3590.57142857143,17.9164285714286,2.5,16,156.923157142857
"66",2015-09-09,"V21",3677.64285714286,17.8228571428571,2.5,16,160.649814285714
"67",2015-09-10,"V21",3764.71428571429,17.7292857142857,2.5,16,164.376471428571
"68",2015-09-11,"V21",3851.78571428571,17.6357142857143,2.5,16,168.103128571429
"69",2015-09-12,"V21",3938.85714285714,17.5421428571429,2.5,16,171.829785714286
"70",2015-09-13,"V21",4025.92857142857,17.4485714285714,2.5,16,175.556442857143
"71",2015-09-14,"V21",4113,17.355,2.5,16,179.2831
"72",2015-09-15,"V21",3874.21428571429,16.6028571428571,2.5,15.8571428571429,169.063071428571
"73",2015-09-16,"V21",3635.42857142857,15.8507142857143,2.5,15.7142857142857,158.843042857143
"74",2015-09-17,"V21",3396.64285714286,15.0985714285714,2.5,15.5714285714286,148.623014285714
"75",2015-09-18,"V21",3157.85714285714,14.3464285714286,2.5,15.4285714285714,138.402985714286
"76",2015-09-19,"V21",2919.07142857143,13.5942857142857,2.5,15.2857142857143,128.182957142857
"77",2015-09-20,"V21",2680.28571428571,12.8421428571429,2.5,15.1428571428571,117.962928571429
"78",2015-09-21,"V21",2441.5,12.09,2.5,15,107.7429
"79",2015-09-22,"V21",2602.57142857143,12.2864285714286,2.5,15.5714285714286,114.636757142857
"80",2015-09-23,"V21",2763.64285714286,12.4828571428571,2.5,16.1428571428571,121.530614285714
